,Price
6424,30.0
11101,26.0
8755,39.0
7659,35.0
2244,65.0
13648,90.0
14492,17.0
6887,25.0
6203,90.0
5685,14.0
7816,37.0
8585,60.0
3187,99.0
8831,75.0
10234,28.0
10549,85.0
13789,24.0
2862,45.0
3755,32.0
9275,28.0
467,65.0
6119,35.0
9374,79.0
279,100.0
12438,50.0
10202,40.0
11838,30.0
3663,48.0
3362,21.0
3196,50.0
11996,109.0
2188,40.0
13921,70.0
2859,150.0
10414,75.0
6002,50.0
3911,25.0
9322,320.0
11901,89.0
573,49.0
5473,60.0
4703,210.0
6614,27.0
14111,110.0
3823,65.0
2181,60.0
7677,50.0
4294,40.0
5888,85.0
8197,25.0
7247,20.0
3192,180.0
12164,120.0
4690,64.0
11226,80.0
8607,49.0
4787,19.0
2916,14.0
4020,23.0
11073,87.0
8675,18.0
13634,37.0
14527,50.0
14725,84.0
10563,17.0
7244,40.0
8384,70.0
10471,40.0
11777,99.0
10108,135.0
4346,35.0
7785,30.0
15094,95.0
14499,40.0
7769,40.0
4759,25.0
9188,209.0
4506,43.0
1389,21.0
10243,109.0
5168,18.0
13564,30.0
4889,50.0
1931,19.0
13424,25.0
14897,73.0
9329,150.0
9871,29.0
12290,49.0
12501,50.0
10496,69.0
7518,65.0
3218,70.0
14545,30.0
12761,65.0
9153,18.0
14995,54.0
5287,188.0
10210,23.0
11687,35.0
1474,80.0
15170,69.0
11113,17.0
6943,23.0
11065,41.0
12643,17.0
10375,50.0
10032,17.0
9181,70.0
2971,150.0
14560,80.0
9629,32.0
14222,25.0
6005,50.0
1438,150.0
7923,34.0
4222,200.0
1212,30.0
2053,149.0
3194,60.0
3411,22.0
9023,60.0
911,41.0
14305,65.0
975,85.0
558,70.0
8850,33.0
5275,60.0
9491,50.0
6914,29.0
12847,200.0
7037,31.0
15281,33.0
14920,55.0
1719,28.0
9584,63.0
11108,23.0
7805,40.0
12259,70.0
2365,51.0
3958,90.0
73,28.0
11721,44.0
14697,88.0
2424,18.0
4728,38.0
9203,100.0
12483,29.0
803,140.0
4873,39.0
4319,42.0
10576,36.0
6604,50.0
8322,50.0
9944,50.0
11262,65.0
6243,13.0
1605,39.0
9147,43.0
12514,28.0
13021,50.0
10170,59.0
8167,30.0
958,25.0
8147,60.0
6274,20.0
9996,60.0
1874,55.0
9817,35.0
11602,40.0
335,30.0
8295,135.0
4887,50.0
12914,75.0
7382,25.0
12145,30.0
2134,40.0
1621,42.0
8480,35.0
14265,118.0
3286,46.0
13892,86.0
12869,98.0
11057,99.0
522,110.0
15097,25.0
2314,95.0
2498,31.0
3116,59.0
476,40.0
4365,25.0
9725,40.0
7501,75.0
15611,20.0
13603,35.0
4600,50.0
1272,810.0
10212,61.0
14378,125.0
11501,72.0
5402,85.0
2144,39.0
5132,50.0
15601,150.0
230,19.0
9561,49.0
14318,70.0
10076,45.0
4118,99.0
9378,38.0
15485,49.0
4655,35.0
3200,60.0
14823,65.0
2484,55.0
4830,65.0
10926,50.0
14507,90.0
7516,34.0
1471,65.0
4081,60.0
951,25.0
1244,23.0
10852,40.0
13293,17.0
6947,120.0
13098,40.0
8928,26.0
3930,32.0
10873,60.0
2994,65.0
3633,37.0
7808,69.0
3183,43.0
5348,22.0
7867,20.0
5468,75.0
10890,14.0
7315,45.0
10685,50.0
1796,45.0
4656,59.0
12439,38.0
15352,75.0
9290,35.0
15249,190.0
12658,50.0
3715,54.0
4672,25.0
6748,25.0
5243,90.0
13571,22.0
13718,72.0
13844,270.0
1773,50.0
14293,30.0
7858,45.0
6021,50.0
2718,50.0
11894,57.0
3259,25.0
9559,32.0
954,9.0
14852,65.0
7545,59.0
1649,26.0
15592,55.0
12038,56.0
2423,24.0
3920,80.0
13511,30.0
11064,56.0
5829,45.0
5384,105.0
9930,62.0
11187,39.0
14130,110.0
9189,50.0
6607,125.0
3430,55.0
12978,23.0
4739,40.0
9271,20.0
4384,28.0
6453,120.0
10538,55.0
5478,85.0
1480,130.0
221,20.0
5061,98.0
3822,20.0
1523,120.0
11433,50.0
15631,120.0
1329,27.0
14618,74.0
6625,38.0
10949,105.0
978,110.0
15012,35.0
2598,32.0
7125,50.0
6623,25.0
7412,100.0
19,40.0
13475,18.0
5151,40.0
112,70.0
14786,65.0
4290,79.0
10502,120.0
10240,45.0
8676,50.0
49,150.0
10425,34.0
9369,37.0
14456,27.0
9903,45.0
6587,61.0
13918,39.0
53,31.0
6918,30.0
10956,30.0
10242,30.0
5851,40.0
11794,245.0
6342,100.0
5445,89.0
5069,20.0
2479,15.0
237,100.0
1319,99.0
5077,42.0
10199,25.0
12486,40.0
11818,210.0
1025,20.0
6960,25.0
13428,165.0
9412,60.0
15067,64.0
4198,79.0
9144,30.0
14694,38.0
9021,80.0
11969,41.0
11090,99.0
14766,50.0
8391,50.0
6135,22.0
12815,100.0
13911,35.0
11902,30.0
12832,47.0
7463,29.0
7627,20.0
2069,119.0
6613,47.0
10803,45.0
6902,58.0
4786,50.0
5336,30.0
12205,60.0
5820,30.0
3112,37.0
178,40.0
3479,83.0
5126,20.0
1926,56.0
8168,100.0
2908,30.0
892,45.0
7737,90.0
7294,140.0
5742,42.0
6551,40.0
14530,30.0
10781,84.0
12366,25.0
11183,105.0
870,50.0
4603,30.0
8140,140.0
12929,25.0
702,20.0
9709,60.0
14946,22.0
8079,45.0
8802,62.0
3847,45.0
13478,45.0
14716,25.0
12272,65.0
1262,49.0
846,32.0
14182,25.0
10283,35.0
11761,80.0
10957,33.0
7399,40.0
12621,46.0
6057,35.0
6440,30.0
6115,50.0
9636,90.0
6450,30.0
6157,35.0
12462,40.0
7433,38.0
701,49.0
10497,27.0
4590,180.0
11679,55.0
11099,18.0
2559,65.0
5128,49.0
15460,119.0
4262,25.0
11791,50.0
15021,27.0
13203,35.0
14261,25.0
11684,50.0
14180,109.0
6422,50.0
11938,154.0
8542,38.0
7580,89.0
11755,20.0
7036,30.0
15311,80.0
3882,45.0
1221,25.0
12786,33.0
14005,28.0
13083,50.0
2597,70.0
9243,100.0
3145,58.0
2205,60.0
5463,59.0
2866,35.0
1366,49.0
8094,39.0
5066,330.0
12938,45.0
14206,54.0
2918,45.0
8278,35.0
9069,55.0
4201,170.0
10263,45.0
8526,150.0
9392,31.0
13127,20.0
11387,60.0
6922,25.0
8660,19.0
7922,36.0
5653,45.0
557,65.0
420,45.0
13009,30.0
6756,95.0
5253,55.0
13625,30.0
10664,23.0
5303,13.0
15219,100.0
3628,59.0
2349,18.0
1119,39.0
13185,46.0
2393,70.0
5977,79.0
2857,60.0
2408,95.0
11385,160.0
15271,130.0
7613,50.0
6882,49.0
1368,29.0
6029,105.0
6874,30.0
1702,80.0
6760,55.0
11247,28.0
6510,30.0
6846,35.0
14189,23.0
3516,22.0
3608,92.0
14041,100.0
10363,19.0
59,40.0
2734,35.0
3599,60.0
1021,85.0
7062,43.0
5587,29.0
10889,27.0
12964,75.0
13898,34.0
3080,200.0
802,320.0
2013,28.0
10600,66.0
3308,160.0
8572,30.0
5492,20.0
13642,30.0
1836,80.0
8695,75.0
822,50.0
9970,20.0
13388,29.0
2141,152.0
8631,200.0
7540,35.0
12737,25.0
5581,69.0
11585,100.0
6365,80.0
9266,140.0
8198,20.0
4270,139.0
4592,45.0
14095,68.0
4282,130.0
5726,85.0
9973,42.0
8873,122.0
9978,30.0
3396,40.0
2751,60.0
7038,39.0
6654,59.0
1108,60.0
1566,50.0
1148,45.0
1941,90.0
7799,25.0
9676,100.0
8554,49.0
4271,55.0
5765,18.0
10065,60.0
374,100.0
2410,39.0
10070,40.0
6429,55.0
10340,99.0
13366,100.0
4952,55.0
2526,145.0
8461,59.0
5182,26.0
11833,98.0
15534,50.0
469,15.0
13723,40.0
14483,22.0
7658,120.0
2501,55.0
5766,50.0
6640,36.0
10675,59.0
5998,30.0
6610,37.0
5188,65.0
9381,89.0
6791,31.0
11645,38.0
11233,30.0
9478,49.0
6239,475.0
1973,112.0
8975,80.0
274,45.0
13922,60.0
7307,105.0
9211,29.0
4100,75.0
1064,25.0
10731,40.0
5266,30.0
6017,39.0
4400,32.0
6215,55.0
4829,35.0
45,21.0
2791,35.0
12617,27.0
2997,41.0
13246,35.0
13431,55.0
15020,66.0
10327,39.0
5669,70.0
11739,30.0
13715,40.0
1923,69.0
14737,50.0
118,60.0
3202,40.0
5939,45.0
12169,80.0
3568,55.0
1996,32.0
474,100.0
11289,25.0
5589,55.0
2307,75.0
2353,170.0
4555,40.0
9924,39.0
6826,76.0
1086,35.0
11279,125.0
4396,100.0
12089,55.0
9446,80.0
3500,25.0
3022,150.0
14202,70.0
6925,15.0
12155,25.0
12090,70.0
8158,30.0
9047,35.0
10053,90.0
11547,35.0
3650,55.0
10066,50.0
5187,50.0
1232,107.0
10328,96.0
3768,30.0
6281,59.0
218,80.0
4013,70.0
3203,105.0
15624,15.0
510,30.0
8392,32.0
4984,204.0
11948,50.0
1188,60.0
9656,220.0
4094,40.0
11716,35.0
11332,58.0
5465,125.0
6517,50.0
4654,23.0
8749,48.0
1436,60.0
13860,140.0
12771,17.0
10275,38.0
6847,24.0
7420,20.0
13817,30.0
14280,15.0
3334,43.0
6936,30.0
5317,55.0
2770,50.0
2301,26.0
2421,58.0
9844,82.0
1689,35.0
1674,25.0
10778,45.0
10881,23.0
5796,54.0
10701,29.0
7359,100.0
2902,29.0
301,54.0
15371,80.0
10154,120.0
3064,25.0
10989,50.0
1160,10.0
352,42.0
12179,60.0
13153,55.0
13593,40.0
5372,20.0
927,106.0
15257,55.0
6558,100.0
5190,32.0
14244,220.0
4021,35.0
3412,79.0
4859,26.0
15214,68.0
7924,25.0
3859,206.0
14635,33.0
837,80.0
1177,60.0
10222,20.0
4102,35.0
6717,27.0
2935,76.0
2575,80.0
10931,50.0
11216,35.0
12154,30.0
14729,65.0
3668,30.0
9279,48.0
15115,75.0
1445,30.0
8842,40.0
9470,38.0
4087,90.0
299,50.0
11296,33.0
11881,70.0
7304,100.0
4019,95.0
3855,44.0
5721,100.0
13891,35.0
3313,60.0
9785,22.0
4135,20.0
633,59.0
8236,35.0
6331,82.0
163,70.0
12629,50.0
6229,30.0
5638,35.0
1659,65.0
8581,90.0
13606,44.0
6139,23.0
15576,85.0
452,50.0
3142,60.0
4992,45.0
2577,23.0
9792,22.0
10335,13.0
4679,39.0
11594,80.0
6485,17.0
2367,42.0
12136,280.0
15222,33.0
13931,57.0
8313,20.0
9362,85.0
6454,75.0
7066,30.0
4353,64.0
3290,50.0
11951,39.0
12589,60.0
4448,28.0
8797,32.0
7949,19.0
3333,79.0
6724,45.0
12530,20.0
1565,14.0
5814,159.0
9842,59.0
12906,27.0
1079,60.0
999,30.0
13537,195.0
4250,25.0
620,67.0
3862,45.0
9051,35.0
833,30.0
11884,95.0
13698,69.0
5902,46.0
318,25.0
11285,50.0
8853,30.0
3061,46.0
8647,35.0
10935,55.0
12257,64.0
5221,95.0
9295,25.0
6895,100.0
7600,34.0
3884,110.0
3,50.0
8051,60.0
5090,45.0
15512,35.0
12867,32.0
7472,25.0
1071,20.0
7448,25.0
6118,21.0
15145,50.0
11080,35.0
15511,32.0
403,50.0
3512,26.0
8942,59.0
11566,26.0
6817,120.0
6027,114.0
14043,169.0
14926,65.0
1815,45.0
139,60.0
10678,75.0
4862,50.0
14128,30.0
10847,108.0
13357,34.0
4494,30.0
1843,50.0
6862,38.0
13998,39.0
14314,37.0
13839,220.0
5521,55.0
8513,50.0
6966,45.0
8261,55.0
12343,60.0
168,70.0
1465,170.0
1982,50.0
5943,40.0
6880,50.0
5791,99.0
13541,80.0
4872,30.0
11514,368.0
6643,31.0
3559,75.0
13198,99.0
9449,29.0
11574,25.0
15514,79.0
9821,60.0
11297,39.0
15684,18.0
8253,50.0
11052,50.0
14521,40.0
721,26.0
3883,50.0
8759,29.0
460,150.0
14726,35.0
7479,55.0
11981,35.0
4203,49.0
11129,100.0
13365,69.0
2704,22.0
1473,54.0
5825,40.0
14788,65.0
11379,79.0
14544,25.0
10532,50.0
14993,140.0
14582,70.0
894,100.0
11448,55.0
8465,69.0
10982,36.0
10844,120.0
10845,23.0
5723,65.0
14691,23.0
14136,60.0
10914,30.0
10184,40.0
12468,100.0
12792,50.0
8030,43.0
15284,30.0
15421,47.0
419,69.0
2750,80.0
6116,265.0
9670,72.0
10571,150.0
4437,60.0
7043,40.0
11725,30.0
3256,50.0
10565,29.0
14647,69.0
11672,37.0
7557,75.0
7603,100.0
4211,40.0
1013,25.0
10838,50.0
9383,150.0
10261,45.0
11466,50.0
10272,90.0
4283,20.0
11731,36.0
40,10.0
10558,64.0
5458,59.0
11476,32.0
10837,195.0
13560,22.0
5028,50.0
10084,50.0
2502,42.0
11071,105.0
4822,42.0
15665,50.0
12993,30.0
11040,26.0
3474,50.0
811,55.0
9260,30.0
12447,50.0
14320,65.0
12037,45.0
15148,49.0
3231,49.0
8657,25.0
9876,40.0
3877,80.0
7482,29.0
7782,38.0
6986,120.0
4685,35.0
11737,40.0
1214,65.0
1835,100.0
2374,30.0
8306,50.0
12798,35.0
7989,50.0
3224,33.0
14162,60.0
924,49.0
5234,240.0
10970,60.0
3827,100.0
8234,80.0
7880,35.0
11062,30.0
11686,31.0
1832,50.0
14277,44.0
9002,95.0
15264,70.0
15443,80.0
7935,41.0
2904,26.0
7928,22.0
15625,39.0
7499,25.0
6881,50.0
11749,35.0
5321,28.0
12994,50.0
11198,75.0
146,450.0
7312,150.0
10163,44.0
9427,23.0
2167,49.0
1015,55.0
2812,80.0
15155,35.0
9749,25.0
11265,69.0
7746,104.0
11638,64.0
8092,70.0
9975,80.0
7129,25.0
2950,30.0
13490,55.0
3331,39.0
9932,40.0
2611,50.0
13096,25.0
4428,64.0
14123,88.0
7119,40.0
14473,28.0
5836,40.0
1585,28.0
13579,55.0
10290,28.0
8552,87.0
14033,46.0
7806,97.0
253,32.0
9994,30.0
804,17.0
13782,95.0
7199,150.0
5388,70.0
14982,49.0
5641,150.0
14284,70.0
1122,75.0
446,22.0
7849,39.0
5466,30.0
2833,30.0
2656,40.0
242,59.0
2321,59.0
13644,30.0
3556,120.0
10990,48.0
8050,56.0
11920,80.0
7484,55.0
14218,30.0
11891,40.0
14289,50.0
9828,65.0
5205,45.0
2810,35.0
5148,22.0
8993,45.0
5727,109.0
1155,350.0
13389,115.0
9073,16.0
3090,28.0
4627,100.0
7441,60.0
7549,38.0
4123,100.0
9710,23.0
7067,115.0
2729,100.0
14938,55.0
807,25.0
6356,30.0
4125,15.0
7739,60.0
2816,89.0
608,28.0
4541,96.0
7674,64.0
9507,75.0
4930,39.0
9154,120.0
9319,95.0
12380,49.0
2113,25.0
13983,45.0
2720,30.0
4238,65.0
11952,30.0
12116,48.0
8715,90.0
10679,28.0
13115,81.0
12376,25.0
4576,45.0
8431,118.0
13955,25.0
6648,23.0
11614,50.0
11238,90.0
5470,24.0
11126,90.0
15638,59.0
935,55.0
5986,50.0
8547,33.0
14715,60.0
13958,22.0
8106,55.0
15100,50.0
10213,180.0
5488,24.0
11355,30.0
13754,22.0
4820,50.0
8813,40.0
14798,36.0
5824,30.0
14568,17.0
3932,35.0
10733,76.0
14728,29.0
4030,42.0
3945,45.0
8471,25.0
404,59.0
3451,20.0
5700,50.0
1269,29.0
1927,50.0
8979,30.0
13777,33.0
1302,40.0
4706,36.0
15547,20.0
14756,29.0
542,80.0
13464,37.0
7734,75.0
6395,45.0
6816,59.0
13422,60.0
11830,69.0
640,60.0
6739,40.0
6409,26.0
12986,43.0
10468,180.0
2537,35.0
7313,50.0
10751,22.0
3189,60.0
1976,360.0
4962,32.0
6912,50.0
2105,45.0
14704,60.0
5057,39.0
6819,75.0
10470,27.0
6230,35.0
3121,55.0
7887,69.0
14721,95.0
9560,60.0
8422,20.0
14776,42.0
5192,45.0
2600,59.0
2879,60.0
6509,50.0
5505,30.0
11140,80.0
6965,49.0
14084,20.0
9187,40.0
13731,120.0
10599,60.0
6804,63.0
9987,80.0
377,25.0
128,50.0
14912,60.0
1437,28.0
12495,35.0
11093,17.0
5454,42.0
4229,23.0
4602,70.0
8021,72.0
7851,40.0
6530,50.0
6325,47.0
6265,42.0
7872,50.0
14441,75.0
7883,145.0
3246,50.0
13773,80.0
11540,32.0
4450,50.0
3209,40.0
7954,85.0
13665,60.0
751,89.0
13156,30.0
12528,35.0
14353,28.0
7158,92.0
2921,80.0
9824,85.0
8919,40.0
5153,50.0
11382,60.0
7460,99.0
4430,55.0
3655,40.0
4906,120.0
875,96.0
296,65.0
13495,50.0
13056,40.0
10321,75.0
7760,99.0
234,35.0
11431,35.0
14327,50.0
2741,35.0
5181,200.0
2777,60.0
6843,39.0
12453,90.0
10089,150.0
2206,27.0
668,30.0
6094,60.0
12517,60.0
15270,18.0
6979,55.0
3124,20.0
13763,20.0
3205,150.0
9474,90.0
6109,110.0
5683,94.0
790,100.0
1841,37.0
4623,25.0
7084,31.0
13947,75.0
12686,60.0
4354,40.0
14953,49.0
9872,45.0
13195,39.0
12393,65.0
9384,20.0
10693,58.0
6937,30.0
6864,140.0
14896,75.0
10203,100.0
468,31.0
77,25.0
11692,38.0
7261,25.0
3087,85.0
5871,20.0
7300,35.0
13154,108.0
13590,59.0
12286,63.0
15027,59.0
6585,148.0
15047,40.0
14385,44.0
470,50.0
4155,30.0
7856,45.0
2626,56.0
4492,55.0
10546,18.0
14904,50.0
2811,180.0
10166,36.0
9547,360.0
10927,73.0
7688,24.0
3536,69.0
11368,38.0
2668,50.0
14012,44.0
14081,50.0
3482,86.0
10999,49.0
4139,36.0
11483,60.0
2437,25.0
6570,35.0
13661,55.0
7159,37.0
5748,28.0
513,81.0
3003,100.0
4177,71.0
10909,76.0
14330,42.0
177,45.0
13601,160.0
7268,45.0
14554,50.0
2223,65.0
11880,18.0
8940,129.0
7354,40.0
12186,180.0
5840,28.0
15220,40.0
1296,40.0
5719,55.0
2427,100.0
6300,72.0
0,26.0
3208,29.0
12412,38.0
3395,55.0
8175,43.0
926,34.0
697,25.0
9600,140.0
689,62.0
15407,47.0
13660,68.0
678,65.0
14088,50.0
13635,60.0
4410,35.0
14125,50.0
11598,38.0
13841,20.0
10299,129.0
4790,25.0
11549,65.0
9847,19.0
13417,35.0
6910,35.0
10043,45.0
6680,40.0
14842,99.0
4070,102.0
2012,62.0
10006,159.0
15062,100.0
2881,48.0
8799,98.0
14991,40.0
14848,58.0
8628,34.0
2171,69.0
15230,30.0
5322,75.0
10063,20.0
12875,25.0
8274,20.0
10401,100.0
71,41.0
13832,189.0
7876,50.0
4855,30.0
4426,75.0
6815,45.0
15028,50.0
4922,15.0
4056,58.0
12749,80.0
11666,60.0
1496,33.0
7504,95.0
2651,50.0
9682,100.0
729,13.0
13370,45.0
1932,40.0
13977,60.0
2669,29.0
60,30.0
345,30.0
8527,55.0
5701,40.0
15312,44.0
1562,110.0
1147,95.0
6117,32.0
723,20.0
4361,27.0
94,25.0
8093,70.0
8267,27.0
2319,40.0
11809,26.0
1706,80.0
9768,78.0
5380,55.0
1682,30.0
5936,65.0
1776,64.0
2152,94.0
5364,79.0
10385,120.0
5559,220.0
1819,67.0
7025,30.0
14309,20.0
9848,60.0
1019,57.0
13273,122.0
14031,40.0
10057,23.0
12347,69.0
14903,25.0
12194,29.0
15659,45.0
4626,180.0
13795,25.0
1909,22.0
14468,45.0
11252,23.0
1205,30.0
11470,49.0
8038,40.0
2947,35.0
11014,34.0
8645,31.0
706,70.0
8756,50.0
5670,30.0
9199,47.0
15268,46.0
12182,50.0
8693,50.0
8590,30.0
10002,50.0
771,91.0
83,228.0
7366,29.0
4762,20.0
3441,70.0
4684,22.0
9463,70.0
12567,37.0
13090,30.0
14121,110.0
1760,200.0
5247,35.0
3127,50.0
1271,30.0
8481,15.0
7848,49.0
10824,50.0
2073,45.0
4379,30.0
4377,80.0
3319,30.0
3965,30.0
12436,50.0
327,65.0
14772,30.0
15388,75.0
2633,38.0
10421,45.0
6889,29.0
15173,38.0
3357,20.0
2705,45.0
2292,30.0
6909,30.0
7772,48.0
7579,90.0
4457,120.0
1641,45.0
5686,77.0
11557,45.0
4653,25.0
4901,47.0
7727,34.0
4713,35.0
1156,85.0
8739,45.0
5242,50.0
10815,40.0
7452,30.0
15545,90.0
13004,20.0
6045,22.0
11107,50.0
14603,159.0
5979,60.0
12909,32.0
6092,40.0
6071,65.0
5099,45.0
9085,28.0
5039,89.0
5662,30.0
11562,65.0
6089,25.0
13338,55.0
394,18.0
9481,69.0
12581,50.0
2782,75.0
4452,50.0
11015,50.0
10831,40.0
13333,45.0
1839,90.0
8983,79.0
7890,55.0
15213,28.0
1734,28.0
1264,60.0
6963,40.0
9571,45.0
98,49.0
13820,55.0
13699,65.0
4001,45.0
13833,40.0
15207,79.0
5467,80.0
10460,89.0
8344,40.0
1207,32.0
2076,40.0
14026,76.0
14730,50.0
10735,39.0
651,30.0
4364,65.0
1568,85.0
8066,40.0
9746,95.0
231,35.0
14197,39.0
11528,60.0
2480,75.0
15147,30.0
15156,39.0
12787,120.0
15000,120.0
10902,50.0
11496,49.0
8155,45.0
2226,34.0
14032,250.0
12274,45.0
8372,27.0
4740,69.0
15272,40.0
9041,50.0
99,120.0
15346,99.0
1238,53.0
14374,50.0
8653,80.0
9761,120.0
6788,33.0
15348,179.0
14302,30.0
4608,40.0
7498,33.0
11305,69.0
15433,25.0
15050,140.0
7992,50.0
9542,50.0
12378,15.0
12069,40.0
2118,204.0
15621,55.0
3588,55.0
8499,30.0
8964,75.0
6370,30.0
8830,60.0
144,94.0
2016,40.0
10613,45.0
1969,90.0
4935,26.0
9868,19.0
129,38.0
7558,45.0
747,48.0
9939,79.0
12818,90.0
5330,75.0
9202,45.0
13206,26.0
11599,100.0
6085,32.0
4269,100.0
4910,25.0
6446,110.0
12580,40.0
915,38.0
15544,24.0
10978,35.0
14569,120.0
4768,429.0
3443,50.0
11768,25.0
14580,35.0
679,28.0
5171,32.0
4104,30.0
1818,45.0
39,70.0
9838,40.0
2576,49.0
14829,49.0
10171,100.0
322,77.0
1746,22.0
12174,60.0
5111,41.0
5176,65.0
14826,89.0
9066,75.0
10208,31.0
13086,40.0
15548,159.0
6663,30.0
9897,150.0
5804,30.0
3727,36.0
46,47.0
8970,70.0
9697,29.0
4682,100.0
8856,58.0
9299,40.0
13270,95.0
14844,72.0
6322,150.0
7636,50.0
1678,27.0
6957,25.0
7764,250.0
8734,45.0
11957,26.0
7035,120.0
7675,35.0
12234,41.0
4057,50.0
96,14.0
14107,69.0
6836,39.0
15347,90.0
272,55.0
1560,69.0
13297,50.0
973,24.0
6563,45.0
6308,100.0
15322,60.0
7098,50.0
7972,25.0
1816,95.0
1357,50.0
4520,55.0
4525,30.0
8427,70.0
8815,25.0
15042,14.0
7293,100.0
6256,26.0
1384,105.0
7891,60.0
8037,120.0
12638,28.0
11427,100.0
15231,34.0
11987,68.0
8770,120.0
7514,23.0
4717,18.0
1032,45.0
7443,84.0
2682,105.0
13912,40.0
4694,40.0
9408,40.0
1242,50.0
5614,14.0
13444,50.0
15218,60.0
1828,60.0
11329,35.0
13384,75.0
11676,35.0
14686,100.0
12955,65.0
518,30.0
3222,17.0
7874,55.0
15439,18.0
15006,38.0
2733,85.0
9359,55.0
2926,48.0
8860,40.0
4892,50.0
10551,72.0
7139,52.0
9001,42.0
1806,80.0
964,30.0
7535,33.0
10945,25.0
5085,89.0
14068,17.0
2738,35.0
3708,20.0
11479,59.0
10866,65.0
10175,70.0
13558,49.0
11223,99.0
3788,55.0
105,14.0
6452,19.0
1895,50.0
7584,98.0
8107,44.0
7013,89.0
9767,35.0
11322,60.0
9807,15.0
1294,32.0
14915,28.0
9993,35.0
7095,25.0
229,199.0
7837,35.0
11520,30.0
9330,50.0
2841,24.0
329,200.0
7431,65.0
1750,25.0
6592,115.0
2793,27.0
13697,50.0
6548,49.0
14574,35.0
10947,65.0
15354,40.0
8746,24.0
6144,39.0
4226,75.0
13200,94.0
12650,45.0
12918,60.0
13854,25.0
10341,559.0
8952,40.0
6169,39.0
7155,25.0
5145,90.0
7228,48.0
12933,79.0
2225,40.0
9919,40.0
15040,119.0
12702,35.0
7012,100.0
13342,43.0
4509,99.0
12704,40.0
5819,39.0
1183,150.0
2760,30.0
10716,45.0
3900,50.0
249,50.0
10392,50.0
916,40.0
6536,75.0
14610,95.0
11820,85.0
10406,70.0
13214,60.0
7690,45.0
8067,24.0
11861,180.0
12710,80.0
600,40.0
9969,125.0
3534,50.0
9797,97.0
10304,69.0
10587,200.0
12103,38.0
7494,50.0
9708,30.0
12999,29.0
2603,56.0
12662,75.0
2605,150.0
5655,152.0
11836,35.0
13516,40.0
1190,20.0
2648,132.0
5668,240.0
5582,25.0
9583,95.0
11457,41.0
5999,40.0
7370,82.0
8291,110.0
604,39.0
6426,55.0
3742,65.0
2639,70.0
14711,39.0
1733,120.0
7790,30.0
922,35.0
8015,35.0
4957,120.0
14420,48.0
13326,79.0
12002,110.0
1009,35.0
3809,60.0
13404,109.0
5139,75.0
5356,83.0
6675,28.0
3367,79.0
13301,50.0
5620,38.0
7279,60.0
10122,30.0
9743,98.0
3364,28.0
9487,50.0
7209,60.0
6757,22.0
3992,103.0
2147,90.0
6766,20.0
8449,20.0
15224,20.0
809,30.0
15182,45.0
626,22.0
9696,24.0
10754,40.0
11913,80.0
7118,28.0
6168,70.0
9711,25.0
6838,89.0
7344,35.0
13524,30.0
3577,45.0
29,100.0
2627,12.0
4208,40.0
9623,88.0
11883,41.0
9674,35.0
13730,28.0
2435,60.0
15533,180.0
1795,80.0
11829,90.0
824,98.0
4766,100.0
8819,37.0
13048,31.0
6970,28.0
5937,50.0
11623,66.0
8658,35.0
10707,70.0
10791,45.0
14157,30.0
6723,25.0
10963,120.0
1135,35.0
13813,99.0
11835,60.0
14430,169.0
1381,54.0
14048,24.0
30,18.0
13452,40.0
14451,42.0
4913,40.0
10686,65.0
8904,25.0
10736,35.0
13721,69.0
9517,89.0
9888,192.0
2662,25.0
1564,45.0
15193,45.0
1098,46.0
4934,18.0
14333,79.0
14434,169.0
9013,150.0
6692,36.0
3393,80.0
5711,38.0
8737,42.0
13729,70.0
2247,65.0
14372,43.0
12117,70.0
2030,22.0
226,36.0
11185,70.0
6164,199.0
15560,120.0
15189,21.0
11609,52.0
11611,89.0
12207,40.0
4239,45.0
5886,68.0
13809,65.0
4732,27.0
10068,20.0
214,80.0
7423,65.0
663,18.0
13749,40.0
2981,70.0
13855,37.0
223,29.0
15266,50.0
13129,50.0
2755,40.0
15490,75.0
15660,82.0
5751,60.0
11558,25.0
9504,100.0
15338,75.0
14489,69.0
7377,96.0
12877,40.0
10773,50.0
6391,70.0
3033,70.0
12569,75.0
10415,95.0
10291,60.0
2252,99.0
12995,45.0
13967,60.0
6906,35.0
3074,34.0
3569,35.0
7990,34.0
8172,18.0
6302,39.0
10069,70.0
3351,100.0
15691,29.0
2595,15.0
9688,26.0
3338,69.0
1462,90.0
7695,30.0
15060,35.0
10107,50.0
2157,23.0
13023,35.0
5286,25.0
11186,19.0
2536,45.0
6949,75.0
9947,42.0
7360,38.0
1708,45.0
8208,25.0
1751,45.0
13295,20.0
5928,50.0
2077,78.0
14093,65.0
9257,40.0
193,38.0
11795,65.0
9965,30.0
13561,85.0
15024,230.0
366,33.0
7576,60.0
15227,165.0
11105,620.0
1166,123.0
1544,70.0
6972,60.0
185,65.0
11258,85.0
11339,65.0
1673,50.0
10005,60.0
6223,80.0
4925,130.0
12713,89.0
1418,55.0
5476,80.0
9435,85.0
2379,69.0
14243,100.0
12048,100.0
12610,55.0
3939,30.0
11667,65.0
5706,25.0
1543,65.0
11767,55.0
5808,50.0
7777,38.0
11425,50.0
14071,22.0
7242,100.0
4951,40.0
6224,75.0
1092,45.0
